name,code,lat,lon
Americana,290,-22.7242526995067,-47.3395492909725
Araçatuba,107,-21.1868410998752,-50.4393168498844
Araraquara,106,-21.7825221457448,-48.1858318132219
Bauru,108,-22.326608396587,-49.092759305391
Cambuci,90,-23.5677084050662,-46.6122728561358
Campinas-Centro,89,-22.9025248038637,-47.0572107427735
Campinas-Taquaral,276,-22.8746189449543,-47.0589727566842
Campinas-V.União,275,-22.9467284160848,-47.1192808618633
Capão Redondo,269,-23.6683561456718,-46.7800433836767
Carapicuíba,263,-23.5313950283077,-46.8357797276639
Catanduva,248,-21.1419427576013,-48.9830752705603
Centro,94,-23.5478061597037,-46.6424144996321
Cerqueira César,91,-23.5535425616777,-46.6727047692529
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.7374142819519
Congonhas,73,-23.6163200788182,-46.6634655273702
Cubatão-Centro,87,-23.8790267306876,-46.418483361896
Cubatão-V.Parisi,66,-23.8494161699591,-46.3886762431427
Cubatão-Vale do Mogi,119,-23.8315890081254,-46.3695687908739
Diadema,92,-23.6858764117137,-46.6116219323751
Grajaú-Parelheiros,98,-23.776265984399,-46.6969610783657
Guaratinguetá,289,-22.8019171385919,-45.1911223603662
Guarulhos,118,-23.4632093829649,-46.4962135994365
Guarulhos-Paço Municipal,264,-23.4555342581023,-46.5185334030574
Guarulhos-Pimentas,279,-23.4401170078091,-46.4099487710006
Ibirapuera,83,-23.5918419901379,-46.6606875025418
Interlagos,262,-23.6805076511499,-46.6750431583082
Itaim Paulista,266,-23.5015473609702,-46.4207368394923
Itaquera,97,-23.5800148313619,-46.4666514114578
Jacareí,259,-23.2941992435412,-45.9682338642508
Jaú,110,-22.2986196635248,-48.5674574048007
Jundiaí,109,-23.192003743039,-46.8970972725384
Limeira,281,-22.5636037767457,-47.4143140341751
Marg.Tietê-Pte Remédios,270,-23.5187058310122,-46.7433200408467
Marília,111,-22.1998094871228,-49.9599697461499
Mauá,65,-23.6685489997822,-46.4660002742069
Mogi das Cruzes,287,-23.518172230148,-46.1868605711067
Mooca,85,-23.5497340450694,-46.6004166453369
N.Senhora do Ó,96,-23.4800987059504,-46.6920519221288
Osasco,120,-23.5267214190038,-46.7920776611899
Parque D.Pedro II,72,-23.5448456586808,-46.6276755923666
Paulínia,117,-22.772321379337,-47.1548428657284
Paulínia Sul,112,-22.7868064343791,-47.1365588816311
Pico do Jaraguá,284,-23.4562688997476,-46.7660977590058
Pinheiros,99,-23.5614598947311,-46.7020165084763
Piracicaba,113,-22.7012223402754,-47.6496526898721
Pirassununga-EM,268,-22.0077128811569,-47.4275644904649
Presidente Prudente,114,-22.1199367347659,-51.4087770680215
Ribeirão Preto,288,-21.1539418919679,-47.828480526621
S.André Capuava,100,-23.6398036991568,-46.4916367657882
S.André-Centro,101,-23.6456163828539,-46.5363346692648
S.André-Paço Municipal,254,-23.6569941995448,-46.5309187564731
S.Bernardo-Centro,272,-23.6986710864522,-46.5462321867186
S.Bernardo-Paulicéia,102,-23.6713539571073,-46.5846678858857
S.José Campos,88,-23.1878873302518,-45.8711976230777
S.José Campos-Jd.Satélite,277,-23.2236454817019,-45.8907999962971
S.José Campos-Vista Verde,278,-23.1836973451392,-45.8308969846329
S.Miguel Paulista,236,-23.4985264108007,-46.4448027795288
Santa Gertrudes,273,-22.4599552691691,-47.5362983394974
Santana,63,-23.5059927222475,-46.6289602999862
Santo Amaro,64,-23.6549772296114,-46.7099983817602
Santos,258,-23.9630572042475,-46.3211700936539
Santos-Ponta da Praia,260,-23.9812951573645,-46.3005095935412
São Caetano do Sul,86,-23.6184427729695,-46.5563539375078
São José Do Rio Preto,116,-20.7846892839301,-49.3982777928726
Sorocaba,67,-23.5024265843066,-47.4790299116269
Taboão da Serra,103,-23.6093238641752,-46.7582943678197
Tatuí,256,-23.3607515378568,-47.8707990664729
Taubaté,280,-23.0323509589424,-45.5758050249834
